Unnamed: 0,ts_code,end_date,current_ratio,quick_ratio,inv_turn,ar_turn,ca_turn,fa_turn,assets_turn_x,profit_to_gr,op_of_gr,roa,npta,roic,debt_to_assets,ocf_to_shortdebt,debt_to_eqt,op_yoy,roe_yoy,assets_yoy,total_assets,total_liab,total_hldr_eqy_inc_min_int,assets_turn_y,ebit,working_capital,retained_earnings
0,000004.SZ,20231231,1.663,1.657,40.3955,0.4543,0.2644,56.9306,0.2226,-145.5052,-138.7391,-35.8637,-32.3867,-62.6666,53.1094,-0.1849,1.1326,74.9996,52.4373,-28.3118,19.840045529079504,19.207228661262718,19.082693278145367,0.2226,-18.993451078379863,18.67753208777483,-20.879412593660323
1,000006.SZ,20231231,1.735,0.3785,0.101,78.0809,0.1276,58.8083,0.1074,-32.0827,-18.9061,-1.3205,-3.4471,-3.5676,71.2887,0.0058,2.4829,-172.5878,-316.7879,-1.8178,23.978248669033356,23.63981619492136,22.730369548946843,0.1074,-19.660315102990605,22.9457001374648,22.35989556008516
2,000007.SZ,20231231,2.16,1.9298,5.4488,12.5114,0.8349,4.7709,0.5752,16.8663,21.3006,10.0786,9.7012,21.7584,65.3408,1.4763,1.8852,391.384,584.5139,12.0286,19.80253919841998,19.37698557743316,18.74293238210127,0.5752,17.45089707472258,18.824569085083247,-19.555461038532815
3,000008.SZ,20231231,0.7586,0.6345,1.4531,1.0561,0.5058,5.2944,0.2293,-32.8261,-33.2527,-6.1376,-7.5282,-8.6194,65.704,0.0048,1.9158,6.5544,-20.5934,-5.2687,23.089337853158955,22.6693277403993,22.01919588562481,0.2293,-20.326035299874423,-21.161953514126175,-21.318262430352224
4,000010.SZ,20231231,0.8061,0.7723,0.7823,0.1766,0.1199,24.9478,0.0896,-223.6062,-219.1361,-16.8823,-20.0381,-68.978,92.0556,-0.0599,11.5876,1.9034,-179.5765,-13.3843,21.866790007063123,21.784013069439204,19.3340812393541,0.0896,-20.16230681127848,-20.126928223983256,-21.759867184484705
5,000014.SZ,20231231,2.7961,0.7905,0.267,590.144,0.5716,63.6524,0.5049,37.7471,49.8286,24.8867,19.0582,32.7823,31.9088,0.6135,0.4686,481.2876,47.5149,-15.9932,21.64448813758506,20.502199425931874,21.260166103714255,0.5049,20.344578668392916,21.063354108724994,21.064986746410902
6,000021.SZ,20231231,1.2414,0.9628,2.9545,4.4793,0.8819,3.1452,0.5169,5.7794,6.7837,3.5691,2.9872,3.6573,53.323,0.1582,1.1424,19.8204,-7.9317,-1.5471,24.033175612542074,23.40437269137584,23.271257527795463,0.5169,20.70813648765253,21.840211036092132,22.62855363967693
7,000027.SZ,20231231,1.028,0.9884,19.7598,3.0908,1.2004,0.6928,0.2749,6.873,8.5606,3.757,1.8891,3.9883,63.6206,0.3449,1.7488,19.9222,-7.983,8.631,25.75670231889467,25.304469978456474,24.745533889444513,0.2749,22.434621868134858,20.690885289374545,23.576642555755644
8,000031.SZ,20231231,1.5136,0.5537,0.2883,116.6338,0.243,10.7856,0.1783,0.3299,8.4226,2.5431,0.0588,0.17,76.7269,0.1111,3.2968,634.988,43.4398,-7.6346,26.01184182137942,25.746923548743712,24.553971308174894,0.1783,22.380565822345552,24.61897978430429,21.06312998340335
9,000032.SZ,20231231,1.2262,1.201,2.6963,5.3148,1.2898,12.1025,1.0293,1.5536,2.0378,2.986,1.5992,5.1878,78.9892,0.0179,3.7595,-3.1049,278.736,6.9525,24.757831871024905,24.52197262662904,23.197699000687884,1.0293,21.213521240756098,22.838928228230557,21.254027586520788
10,000034.SZ,20231231,1.2129,0.797,9.2247,11.9488,3.4951,338.3345,2.8114,1.0085,1.2656,4.6015,2.8352,6.5422,79.3701,-0.0051,3.8473,14.4717,3.6449,11.6065,24.52734070832719,24.29629167966233,22.94891417864469,2.8114,21.39515323913502,22.56642066504201,22.047480026964593
11,000035.SZ,20231231,0.6689,0.6296,8.8512,2.234,0.9401,2.2849,0.1951,7.2196,8.0248,2.7319,1.4084,3.6916,61.4524,0.0599,1.5942,83.5696,163.9201,6.2128,24.059467853905062,23.572560698422084,23.10619128749864,0.1951,20.429621181481284,-21.70015045320461,21.98126296082541
12,000036.SZ,20231231,3.9787,2.1309,0.111,22.4158,0.0839,0.7585,0.0641,17.6307,18.8557,1.0116,1.1302,1.223,26.1167,-0.5804,0.3535,-86.4464,-81.3766,-9.0711,22.851272883081812,21.508676492488142,22.548589929034954,0.0641,18.306341299087983,22.294881927934778,22.009901510041672
13,000042.SZ,20231231,1.7574,0.2629,0.2098,37.8252,0.2698,8.0536,0.2254,-27.7659,-21.0156,-3.2629,-6.2571,-8.0336,81.9805,0.0931,4.5495,-457.2347,-3367.9131,-15.6515,24.155482570675645,23.956793549128605,22.441768025575698,0.2254,-20.821658363462795,23.120840768027215,21.867165906355194
14,000048.SZ,20231231,0.6432,0.2068,1.6969,470.8936,1.8236,2.2837,0.8372,14.1545,20.2052,17.332,11.8498,33.263,67.7847,-0.063,2.1041,139.5716,53.7795,-30.8399,23.218778466053635,22.82994478670664,22.086049773454587,0.8372,21.66743847043624,-21.576961684649117,21.91392231124623
15,000049.SZ,20231231,1.6248,1.3209,7.3666,4.2572,2.0472,7.5624,1.3982,2.5193,2.6215,4.1741,3.5225,6.3788,61.3504,0.4219,1.5874,-46.1258,-57.8554,31.6733,23.526692043597293,23.038123839204182,22.576057822345195,1.3982,20.221687498324496,22.181137599678056,22.10815199826071
16,000050.SZ,20231231,1.0541,0.8763,7.0627,4.6429,1.4719,0.9347,0.3961,-6.5381,-5.9687,-1.3108,-2.5894,-1.7594,64.6316,0.1919,1.8274,-1592.77,-2119.3775,1.2187,25.129696229206075,24.693228969561286,24.09034577592803,0.3961,-20.78915483543818,20.832569228125305,-20.2506440731836
17,000059.SZ,20231231,2.8141,1.9602,7.1973,337.0387,2.4451,4.1801,1.4303,0.1801,0.226,1.1088,0.2575,0.7233,53.0372,0.1424,1.1293,-86.8724,-86.5848,-2.263,24.18551522902407,23.551338394418682,23.429701071037787,1.4303,19.695272510966053,23.237641500778448,22.548720516413773
18,000060.SZ,20231231,1.3732,0.609,10.0635,92.1838,5.0663,4.5782,1.7349,1.5842,1.8098,4.4621,2.7484,4.8,60.2202,0.1355,1.5138,-14.4475,-37.1282,31.7467,24.48503592340438,23.977873564440948,23.56322500924231,1.7349,21.247045571231677,22.187676875859125,22.908318260442726
19,000061.SZ,20231231,0.4279,0.3238,4.4981,23.0534,1.4894,3.6566,0.2598,10.9017,15.5975,4.5292,2.8318,4.7777,62.812,0.1161,1.689,62.3618,108.0329,1.4025,23.781224271125822,23.31620020810132,22.79204023929313,0.2598,20.67961026000612,-22.32466353147346,21.212983745468108